id,name,name_id,url,country,date_live,date_added,usdt,fiat,auto,volume_usd,udate,volume_usd_adj
49,HitBTC,hitbtc2,https://hitbtc.com/,Hong Kong,2013-01-01,0000-00-00 00:00:00,1,0,Yes,5855695442.111164,Recently,856261169.580425
50,Huobi,huobi,https://www.huobi.com/,Singapore,2013-01-01,2018-05-21 00:00:00,1,0,No,2108542037.873076,Recently,401907099.418001
53,Independent Reserve,independentreserve,https://www.independentreserve.com,"Australia, New Zealand",,0000-00-00 00:00:00,0,0,Yes,5185673.265666006,Recently,5185673.265666006
54,itBit,itbit,https://itbit.com,US,2013-01-01,0000-00-00 00:00:00,0,1,No,19237780.580121893,Lag,0.0
55,jubi.com,jubi,https://www.jubi.com/,China,,0000-00-00 00:00:00,0,0,Yes,0.0,NA,0.0
56,Kraken,kraken,https://www.kraken.com,"San Francisco, California, United States",2011-00-00,0000-00-00 00:00:00,0,0,Yes,831383044.2069333,Recently,576260146.0895193
57,LakeBTC,lakebtc,https://www.lakebtc.com,US,2013-00-00,0000-00-00 00:00:00,0,0,Yes,4555782.636599001,Lag,0.0
58,LiveCoin,livecoin,https://www.livecoin.net,"US, UK, Russia",2017-01-01,0000-00-00 00:00:00,0,0,Yes,0.0,Lag,0.0
59,Liqui,liqui,https://liqui.io,Ukraine,,0000-00-00 00:00:00,0,0,Yes,503.35853829542,NA,0.0
60,luno,luno,https://www.luno.com/en,"London, United Kingdom",2013-01-01,0000-00-00 00:00:00,0,0,Yes,895844.48993877,Recently,895844.48993877
61,Mercado Bitcoin,mercado,https://www.mercadobitcoin.com.br,Brazil,,0000-00-00 00:00:00,0,0,Yes,3164390.8684458,Recently,3164390.8684458
62,MixCoins,mixcoins,https://mixcoins.com/,"UK, Hong Kong",,0000-00-00 00:00:00,0,0,Yes,12.511906344542,Lag,0.0
63,Novaexchange,nova,https://novaexchange.com,Tanzania,,0000-00-00 00:00:00,0,0,Yes,1124.0003733013768,Lag,1124.0003733013768
66,OKEX,okex,https://www.okex.com/,Hong Kong,2014-01-01,2018-05-21 00:00:00,1,0,No,5138088756.164397,Recently,2462417846.360212
67,Paymium,paymium,https://www.paymium.com,"France, EU",,0000-00-00 00:00:00,0,0,Yes,5945.3374105033,Lag,5945.3374105033
68,Poloniex,poloniex,https://poloniex.com,"Wilmington, Delaware, United States",2014-00-00,0000-00-00 00:00:00,0,0,Yes,92680004.68069883,Recently,19254080.593058072
70,QUOINE,quoine,https://quoinex.com/,"Japan, Singapore, Vietnam",,0000-00-00 00:00:00,0,0,Yes,68508962.95760141,Lag,0.0
71,SouthXchange,southxchange,https://www.southxchange.com/,Argentina,,0000-00-00 00:00:00,0,0,Yes,251330.71972386382,Recently,251330.71972386382
72,SurBitcoin,surbitcoin,https://surbitcoin.com/,Venezuela,,0000-00-00 00:00:00,0,0,Yes,0.0,NA,0.0
73,Tidex,tidex,https://tidex.com,UK,2017-01-01,0000-00-00 00:00:00,0,0,No,4098726.615522226,Recently,4098726.615522226
74,TheRockTrading,therocktrading,https://www.therocktrading.com,Italy,2007-01-01,0000-00-00 00:00:00,0,1,No,992424.525543578,Recently,992424.525543578
75,UrduBit,urdubit,https://urdubit.com,Pakistan,,0000-00-00 00:00:00,0,0,Yes,0.0,NA,0.0
76,Vaultoro,vaultoro,https://www.vaultoro.com,Switzerland,,0000-00-00 00:00:00,0,0,Yes,0.0,NA,0.0
77,VBTC,vbtc,https://vbtc.exchange,Vietnam,,0000-00-00 00:00:00,0,0,Yes,0.0,NA,0.0
78,VirWoX,virwox,https://www.virwox.com,"Austria, EU",,0000-00-00 00:00:00,0,0,Yes,0.0,NA,0.0
79,WEX,wex,https://wex.nz/,New Zealand,,0000-00-00 00:00:00,0,0,Yes,2147356.1169679267,NA,2147356.1169679267
80,xBTCe,xbtce,https://www.xbtce.com/,Russia,,0000-00-00 00:00:00,0,0,Yes,4916.9149720000005,Lag,4916.9149720000005
81,YoBit,yobit,https://yobit.net/,Russia,,0000-00-00 00:00:00,0,0,Yes,253438269.60662186,Recently,36540853.608862646
82,YUNBI,yunbi,https://yunbi.com,China,,0000-00-00 00:00:00,0,0,Yes,0.0,NA,0.0
83,Zaif,zaif,https://zaif.jp,Japan,2015-00-00,0000-00-00 00:00:00,0,0,Yes,6095205.436446312,Recently,238008.4135535696
84,Coinone,coinone,https://coinone.co.kr,Korea,2016-01-01,0000-00-00 00:00:00,0,0,No,195516098.68004343,Recently,32476428.534114376
85,ZB.com,zb,https://www.zb.com,China,2017-01-01,0000-00-00 00:00:00,1,0,No,974042301.5067424,Recently,32907011.097996406
86,Coinnest,coinnest,https://www.coinnest.co.kr,Korea,2017-01-01,0000-00-00 00:00:00,0,0,No,0.0,Lag,0.0
87,Korbit,korbit,https://www.korbit.co.kr,Korea,2013-01-01,0000-00-00 00:00:00,0,0,No,7292579.725122068,Recently,202054.7971555896
90,Coinroom,coinroom,https://coinroom.com,Poland,2017-01-01,0000-00-00 00:00:00,0,0,No,2657960.9005570333,NA,2657960.9005570333
91,Coinexchange,coinexchange,https://www.coinexchange.io/,,2018-01-01,0000-00-00 00:00:00,0,0,No,117487.81773516657,Lag,0.0
92,Trade Satoshi,tradesatoshi,https://tradesatoshi.com/,,,0000-00-00 00:00:00,0,0,No,18638.965701098277,Lag,18638.965701098277
93,Ether Delta,etherdelta,https://etherdelta.com,,,0000-00-00 00:00:00,0,0,No,20117.960236556137,NA,20117.960236556137
94,CryptoMate,cryptomate,https://cryptomate.co.uk,,,0000-00-00 00:00:00,0,0,No,2730.133162245,Lag,2730.133162245
95,Mercatox,mercatox,https://mercatox.com,,,0000-00-00 00:00:00,0,0,No,27230484.669995155,Recently,576099.9069327355
96,Kucoin,kucoin,https://www.kucoin.com,Hong Kong,2014-01-01,0000-00-00 00:00:00,0,0,No,2241661880.5135803,Recently,1720514024.8677304
97,Aex,aex,https://www.aex.com,,,0000-00-00 00:00:00,0,0,No,311949506.2302805,Lag,76447212.48910093
98,Bitsane,bitsane,https://bitsane.com,Ireland,2016-01-01,0000-00-00 00:00:00,0,0,No,121018144.91110094,Lag,0.0
99,Exx,exx,https://www.exx.com,China,2017-01-01,0000-00-00 00:00:00,0,0,No,330615143.45862764,Lag,286752.24614212755
