id,name,name_id,url,country,date_live,date_added,usdt,fiat,auto,volume_usd,udate,volume_usd_adj
28,C-CEX,ccex,https://www.c-cex.com,"Germany, EU",,0000-00-00 00:00:00,0,0,Yes,0.0,Lag,0.0
29,CEX.IO,cex,https://cex.io,"London, United Kingdom",2013-00-00,0000-00-00 00:00:00,0,1,Yes,22667498.06391665,Recently,4639880.381383599
30,CHBTC,chbtc,https://www.chbtc.com,China,,0000-00-00 00:00:00,0,0,Yes,0.0,NA,0.0
31,ChileBit,chilebit,https://chilebit.net,Chile,,0000-00-00 00:00:00,0,0,Yes,34218.3526285144,Recently,0.0
32,coincheck,coincheck,https://coincheck.com,"Tokyo, Japan",2014-00-00,0000-00-00 00:00:00,0,0,Yes,82769478.861046,Recently,11605399.36828368
33,coinfloor,coinfloor,https://www.coinfloor.co.uk,UK,,0000-00-00 00:00:00,0,0,Yes,1487770.2473206467,NA,1487770.2473206467
34,Coingi,coingi,https://coingi.com/,"Panama, Bulgaria, China, US",,0000-00-00 00:00:00,0,0,Yes,120.3175,Recently,120.3175
36,CoinMate,coinmate,https://coinmate.io,"UK, Czech Republic",,0000-00-00 00:00:00,0,0,Yes,225815.62043095598,Lag,225815.62043095598
37,Coinsecure,coinsecure,https://coinsecure.in/,India,,0000-00-00 00:00:00,0,0,Yes,0.0,NA,0.0
38,CoinSpot,coinspot,https://coinspot.com.au,Australia,,0000-00-00 00:00:00,0,0,Yes,0.0,NA,0.0
39,Cryptopia,cryptopia,https://www.cryptopia.co.nz,New Zealand,,0000-00-00 00:00:00,0,0,Yes,229401.08958191218,NA,229401.08958191218
40,DSX,dsx,https://dsx.uk/,UK,2018-01-01,0000-00-00 00:00:00,0,0,Yes,29999.931334815006,Lag,0.0
41,EXMO,exmo,https://exmo.com/,"Spain, Russia",2013-01-01,0000-00-00 00:00:00,0,0,Yes,67410153.38216588,Recently,1240627.892007342
42,flowBTC,flowbtc,https://trader.flowbtc.com/,Brazil,,0000-00-00 00:00:00,0,0,Yes,0.0,NA,0.0
43,FoxBit,foxbit,https://foxbit.exchange/,Brazil,,0000-00-00 00:00:00,0,0,Yes,0.0,Recently,0.0
46,Gatecoin,gatecoin,https://gatecoin.com/,Hong Kong,2013-00-00,0000-00-00 00:00:00,0,0,Yes,2455.0,NA,2455.0
47,GDAX,gdax,https://www.gdax.com/,"San Francisco, California, United States",2011-07-02,0000-00-00 00:00:00,0,0,Yes,61018282.541038156,Lag,61018282.541038156
